,precision,recall,f1-score,support
ACRU,0.23529411764705882,0.21621621621621623,0.22535211267605634,37.0
ACSA3,0.0,0.0,0.0,0.0
CAGL8,0.0,0.0,0.0,4.0
FAGR,0.0,0.0,0.0,0.0
LITU,0.35714285714285715,1.0,0.5263157894736842,5.0
MAGNO,0.0,0.0,0.0,4.0
NYBI,0.0,0.0,0.0,8.0
NYSY,0.0,0.0,0.0,0.0
Other,0.0,0.0,0.0,0.0
PIEL,0.0,0.0,0.0,35.0
PINUS,0.0,0.0,0.0,3.0
PIPA2,0.8983050847457628,0.6,0.7194570135746607,265.0
PITA,0.0,0.0,0.0,1.0
QUAL,0.21739130434782608,0.45454545454545453,0.29411764705882354,11.0
QUCO2,0.0,0.0,0.0,8.0
QUERC,0.0,0.0,0.0,0.0
QUGE2,0.1,0.07692307692307693,0.08695652173913043,26.0
QUHE2,0.0,0.0,0.0,68.0
QULA2,0.17142857142857143,0.15384615384615385,0.16216216216216214,39.0
QUMO4,0.0,0.0,0.0,0.0
QUNI,0.0,0.0,0.0,1.0
QURU,0.5,0.17647058823529413,0.2608695652173913,68.0
ROPS,0.4,1.0,0.5714285714285715,2.0
TSCA,0.0,0.0,0.0,0.0
accuracy,0.3401709401709402,0.3401709401709402,0.3401709401709402,0.3401709401709402
macro F1,0.11998174730466986,0.1532500620735915,0.11861080763877001,585.0
micro F1,0.5043067738971332,0.3401709401709402,0.3971422073478566,585.0
